,text,anwser,likes,dislikes
45,그게 급한게 아니야 X마~~~  청년들이 힘을 낼 수 있는 정책을 내놔봐!  이 나라 미래는  청년들인데 청년들 다 극 절망과 극 좌절 시켜놓고 쓸데 없는 공약이나 남발하고  청년들에게 살 맛 나는 세상을 만들 공약 내 놓으시요 ,0,2,1
46,헌정권  비판도 못하면서...말초적인것으로  선동하는게.. ,0,1,0
47,성과평과 잘 받으려고 줄서기 시작하며 더 상명하복 되것네 일이 없어 소멸한다면 없는 일도 만들어 하것네 개혁 뜻이 나쁘다는게 아니고 이미 잘못되 있는거부터 바로 잡으면 믿어줄텐데 공직을 아는 사람이 말만 쉽게 하는게 이상하다 ,0,1,0
48,"공무원 체질개선 많이 늦었지만 지금이라도 한다면 대찬성입니다. 공무원, 공사, 관리공단, 연구원 등 청년 채용 확대 하고, 우선 채용하면 험로에 있는 취준생 청년이 살아나고 국가도 살아납니다.. 청년들 최대한 많이 채용하고 외부 발주용역 직접 수행한다면 예산도 절감하고 청년실업도 해결될수 있습니다.. ",0,1,0
49,국가경쟁력 말아먹을려고 작정했구나~~  공공행정체계가 문제가 아니라 지금 민간경제중 열악한 중소기업과 농어업초고령화가 문제라는게 안보이나 공공행정 무너지면 어떻게 감당하려고 포퓰리즘 정책을 공약이라고 만드나 ,0,1,0
50,공무원 때리면 당선될거라 보는거냐? 안일해 ,0,1,0
51,그럼 나라  중요 일은 누가하고 9급 출신들이 중요 나라 업무 할수있나 능력있는사람이 나라일 해야지 그래서 5급을 뽑잖아 나라인제 뽑을라고 ,0,1,0
52,사법고시는 왜 말 안하냐? 대박날텐데 ,0,1,0
53,새로운 똥물결 ,0,1,0
54,특검 꺼내는거보니 국힘과구만 이재명 죽이기해서 지가 대통령 될려고 ,0,1,0
55,ㅋㅋㅋ 왜 자꾸 시험은 없앨라고 하냐ㅋㅋㅋㅋ 시험이 제일 공정한 수단인데 ㅋㅋ ,0,1,0
56,"행시폐지하고,, 또  인맥이나 재력으로 서로 밀어 주려고??  선진국등에서 이미 폐쇄적  채용으로 결론 난  인재채용 방식을 그럴듯하게 포장해서 그나마 공정한 채용에 찬물 끼얹지 마시오.  결국 기득권 까르텔 진입을 원천 차단하는  꼼수다. 지식인들의 겉포장에 속지마시오. 그나마 사시,행시,외시,수능등이 있어서 역동적 사회가 되는것이다 .어느 유럽 이민자가 그러더라 . 공무원 채용 시험이 있는 우리나라가 공정한 거라고..그들은 인맥이 없으면 공무원도 힘들다더라.  인간의 공정성을  믿지 말아라!! 제도의 공정성이 우선이다. ",0,1,0
57,"똥팔육들 부들거리면서 달려드는거보면, 김동연 후보를 밀어줄만하다는 생각이 들기 시작함ㅋㅋㅋ 기득권 정당이나 지지하면서 깨어있고 정의로운 척 하는 아재들이 하는 말이나 행동 반대로만 하면 모든게 정상으로 돌아갈 듯 ",0,1,0
58,정확하게 방법을 제시했다. 누가되던 시행되었으면 하는 제도라고 본다… ,0,1,0
59,"공무원 주민 점수제 두어서 3진 아웃하면 자동 퇴출하는법 도 만들어야한다, 관공서 가보면 갑중에 갑이 공무원이다, ",0,1,0
